Time(min),Length(um),Fitting(um)
40,3.133671972,3.123671972
45,3.270377386,3.235814404
50,3.413466845,3.351982842
55,3.517517109,3.472321825
60,3.610850384,3.596981077
65,3.773272865,3.726115701
70,3.799216143,3.859886365
75,3.924515515,3.998459508
80,4.022103645,4.142007542
85,4.243001308,4.290709071
90,4.306435953,4.444749109
95,4.499945216,4.604319312
100,4.679909261,4.76961822
105,4.910309755,4.940851496
110,5.094539531,5.118232189
115,5.18919686,5.301980998
120,5.415124818,5.492326542
125,5.64955109,5.68950565
130,5.900771038,5.893763653
135,6.135930972,6.105354688
140,6.504843091,6.324542019
145,6.696724642,6.551598357
