PLL in-chamber,PLL rinsed,PLL air-dried,PEI,Cell-Tak,APTES,Gel pad
2.495705919,0.981333626,4.428050908,1.647510139,1.439415644,1.669625623,2.770842036
4.527187659,0.593565428,2.686035207,0.576291054,0.961158044,0.670814098,0.571326864
1.602046258,5.402868186,5.408441644,1.966265438,1.43242774,1.262982272,1.731832593
0.655765463,4.367099822,2.172974613,1.167864695,2.17921373,3.905215936,1.029495077
3.881656148,2.313759454,2.263043753,0.944352299,1.47995334,1.143130305,1.127946646
2.692288291,3.870439792,0.696542892,1.099276508,0.604196581,1.376817108,1.448688789
2.821412359,0.384439485,4.435543159,2.109779521,1.055608769,0.610560355,0.332519051
2.350090136,1.094016742,2.242424832,0.815323678,1.073944369,0.516958291,1.332216918
0.838173667,0.92867096,1.270558343,2.017996472,1.725496644,2.223629522,1.075681907
8.946454964,0.831210485,0.657811339,1.339783755,1.694387099,1.05267669,1.378046076
6.981353595,1.572227212,0.939968471,3.995609979,0.726570418,3.898295648,1.606176385
6.732399326,1.619579089,1.574659165,1.433667552,2.226350059,2.750672072,0.920717935
3.975453404,1.396976859,1.194375863,1.481488642,0.515168016,6.810499384,0.473156725
1.065037007,1.256327867,1.311203504,2.818130957,0.394451641,1.329484571,1.681986742
0.459436678,1.263054646,0.972324009,6.71242035,0.561187266,1.592244143,1.35730169
0.928198714,6.322555377,0.657621288,0.672430943,1.48393538,1.479219733,1.48899171
6.148920733,2.272764076,5.84619957,1.153688533,0.927763088,0.660041548,1.751766933
5.614709296,1.358775035,1.463403288,0.468473871,1.584176656,1.852512124,1.614682023
2.864165087,1.790391932,8.823939842,2.49818502,4.908158805,2.392942159,1.492217782
1.313167422,1.347512768,1.003865324,0.495110081,2.214211654,1.814443287,2.235757854
2.110224807,2.552239315,0.860172906,0.784300666,1.798927415,1.362530015,3.317774466
7.983447803,2.623017749,7.254247805,4.652996348,1.248021172,0.707723321,1.366383727
3.303640326,0.715873591,1.167034785,0.643702692,3.079480994,4.744073874,1.564447183
0.753984801,0.786531546,0.895366272,1.242961291,0.821576458,0.244640441,1.981083946
1.976212735,1.100290852,1.642527298,3.352993679,0.911287436,1.126393261,1.140924663
1.287673278,0.578284952,0.799648302,1.05855626,0.785104347,0.843423017,1.36566132
2.027128238,0.947801542,1.020974383,1.15625069,2.212680585,0.84846033,2.25842451
0.936637334,1.690281542,0.914928521,2.843986869,2.307870728,1.921722873,1.075085788
3.184740759,1.196815356,1.593893681,1.634207077,2.498278542,1.030852218,1.773857501
1.945135618,0.932474653,0.538340507,2.192052172,0.547200524,0.693129668,1.690180022
1.334717702,2.89114675,1.984761961,0.887547605,3.573287527,1.037576477,0.486292564
9.887540065,0.721095073,3.376450404,1.104720381,1.61178691,1.186015546,3.278960376
1.180909537,1.257726862,2.802602839,0.755747944,0.598405047,0.867255467,1.005181738
2.392767917,1.390813243,1.301016548,1.252501057,3.885719927,1.261199764,1.156504889
0.969722883,1.408906188,1.260762444,2.425323258,1.78485386,1.281949038,2.017301981
2.282823397,1.369394849,0.993602898,3.104881193,0.724711064,1.417187235,2.267139678
0.459152347,1.59620258,5.646105466,3.936770758,1.580667157,1.746430644,0.794525767
1.972379509,1.31387621,1.399070868,1.283834512,1.18703519,0.866948303,1.55082887
1.66529512,1.644275222,0.807984419,0.514062463,4.82905191,2.863704202,0.734977912
1.536030503,1.309083013,1.294032695,1.861337456,1.193761406,0.789092732,0.974178022
0.88925339,1.89993776,6.207588669,1.24028754,0.563186279,1.665862288,1.49365439
1.246379338,0.946700979,0.985882307,1.430155395,1.178051659,0.636408334,5.139750148
3.083812595,1.878748674,1.081033788,1.564085521,1.241898025,0.805777025,1.152159292
1.356183953,1.743467891,4.545067611,3.812340184,0.820655573,0.937455504,2.271647895
2.9980089,0.884338959,0.627365722,1.257212606,2.82207389,0.934910992,0.974377581
1.777900645,1.447118198,1.96810611,12.79583208,1.218041129,1.695569563,0.736509454
1.096390592,5.472934891,,1.195089768,1.904079555,3.982078189,1.160207497
2.456814326,1.262943217,,0.681603605,1.07755716,2.342327538,1.250996819
1.54669384,0.708087259,,4.450346685,0.668730862,0.969851164,0.964921918
6.035699883,4.346188743,,1.138710973,0.795192868,1.008815676,3.740827406
7.419794101,4.358720793,,2.068920613,2.611510639,4.047696667,0.703384693
1.418838475,,,1.179042326,1.428749613,0.923029901,1.504650491
1.31653735,,,1.846263367,2.108896647,0.564939689,1.84803468
5.491966099,,,2.012403751,1.246372045,0.721901703,1.768950605
4.410481189,,,2.487772466,4.755146717,1.033834094,4.11603947
2.196057731,,,0.401114768,0.962354588,0.344479808,1.835164661
1.853871095,,,1.108725474,0.650466316,2.261362209,1.370599333
7.078201168,,,0.969836607,1.678181264,1.330499951,3.409695719
1.355937256,,,0.708090081,0.519400537,0.592935248,1.380566473
2.210706448,,,1.757371721,0.627393177,1.755409845,1.968357976
2.987709469,,,1.589070435,1.706369301,3.669627928,3.643673859
