,Gel pad,Gel pad,PLL rinsed,PLL rinsed
Time(min),mean,std,mean,std
0,0.004292668,0.000881989,0.004607685,0.001085928
5,0.004292668,0.000881989,0.004607685,0.001085928
10,0.004292668,0.000881989,0.004573201,0.001095637
15,0.004292668,0.000881989,0.004573201,0.001095637
20,0.004362072,0.000900637,0.004573201,0.001095637
25,0.004362072,0.000900637,0.004573201,0.001095637
30,0.004188181,0.000942121,0.004551895,0.001129994
35,0.004185855,0.001018424,0.004332352,0.001209549
40,0.004017745,0.001082521,0.004315897,0.001207769
45,0.004018568,0.001065891,0.004303002,0.001060386
50,0.00391513,0.00103897,0.004254573,0.001071739
55,0.003901783,0.001051544,0.004254028,0.001100248
60,0.003860066,0.001038884,0.004217401,0.001174338
65,0.003823581,0.001020507,0.00416898,0.001167259
70,0.003823581,0.001020507,0.003830054,0.00113467
75,0.003823581,0.001020507,0.003622178,0.001174027
80,0.003823581,0.001020507,0.003620337,0.001150345
85,0.003824264,0.001035846,0.00338539,0.001052713
90,0.003824264,0.001035846,0.003307571,0.000995172
95,0.003809241,0.001048138,0.003228869,0.000957344
100,0.003771616,0.00099888,0.003228869,0.000957344
105,0.003737692,0.000993489,0.00327277,0.000957495
110,0.003746084,0.001008197,0.003245331,0.00095735
115,0.003673746,0.000999938,0.003268505,0.000971352
120,0.003673746,0.000999938,0.003198295,0.000904422
125,0.003513764,0.000909325,0.003205628,0.000890157
130,0.003471668,0.0008748,0.003207167,0.000905333
135,0.00344344,0.000892642,0.003207167,0.000905333
140,0.00344344,0.000892642,0.003207167,0.000905333
145,0.00344344,0.000892642,0.003217931,0.000919402
150,0.00344344,0.000892642,0.003234671,0.000931761
155,0.00344344,0.000892642,0.003208296,0.000939323
160,0.00344344,0.000892642,0.003207419,0.000891178
165,0.00344344,0.000892642,0.003207419,0.000891178
170,0.00344344,0.000892642,0.003207419,0.000891178
175,0.00344344,0.000892642,0.003158481,0.000863008
180,0.003342396,0.000920098,0.003190562,0.000862709
185,0.003291509,0.000915018,0.003190562,0.000862709
190,0.003333748,0.000985739,0.003128582,0.000807146
195,0.003333748,0.000985739,0.003118341,0.000946569
200,0.003333748,0.000985739,0.003074652,0.000930419
205,0.003333748,0.000985739,0.003072978,0.000912345
210,0.003333748,0.000985739,0.003187492,0.001085074
215,0.003342924,0.001002566,0.003187492,0.001085074
220,0.003342924,0.001002566,0.003206388,0.001073487
225,0.003342924,0.001002566,0.003207239,0.001090653
230,0.003342924,0.001002566,0.003207239,0.001090653
235,0.003395193,0.000980564,0.003157473,0.001091143
240,0.003428481,0.000970656,0.003157473,0.001091143
245,0.003428481,0.000970656,0.003111628,0.001075826
250,0.003428481,0.000970656,0.003143346,0.001102204
255,0.0033394,0.000897662,0.003143346,0.001102204
260,0.003354741,0.000868368,0.003143346,0.001102204
265,0.003251003,0.00081522,0.003035983,0.000948729
270,0.003222675,0.000820087,0.003070976,0.000950246
275,0.003222675,0.000820087,0.003070976,0.000950246
280,0.003186215,0.00082129,0.003040816,0.000958312
285,0.003204623,0.000830774,0.003051817,0.000976713
290,0.003252696,0.000823893,0.003090603,0.00097462
295,0.003266331,0.000841692,0.003052019,0.000964235
300,0.003316263,0.000773844,0.002988138,0.000960776
305,0.003377371,0.000712599,0.002839056,0.000638274
310,0.003377371,0.000712599,0.002839056,0.000638274
315,0.003343993,0.000714071,0.002839056,0.000638274
320,0.003343993,0.000714071,0.002839056,0.000638274
325,0.003343993,0.000714071,0.002888922,0.000605704
330,0.003343993,0.000714071,0.002888922,0.000605704
335,0.003362387,0.000728753,0.002922026,0.000587559
340,0.003362387,0.000728753,0.002920746,0.000624602
345,0.00333353,0.000738626,0.002907625,0.000640011
350,0.00333353,0.000738626,0.002881543,0.000669167
355,0.003178308,0.000531326,0.002880154,0.000687474
360,0.003178308,0.000531326,0.002880154,0.000687474
365,0.003133221,0.000517324,0.002880154,0.000687474
370,0.003188982,0.000446893,0.002880154,0.000687474
375,0.003188982,0.000446893,0.002880154,0.000687474
380,0.003180049,0.000465551,0.002828436,0.000668291
385,0.003169158,0.000486668,0.002828436,0.000668291
390,0.003219323,0.000482084,0.002828436,0.000668291
395,0.003274246,0.00047699,0.002828436,0.000668291
400,0.003274246,0.00047699,0.002828436,0.000668291
