Condition,Time(min),Length(um)
Gel pad,0,3.41237
Gel pad,0,3.165695
Gel pad,0,4.90438
Gel pad,0,2.330055
Gel pad,0,3.548285
Gel pad,0,2.895945
Gel pad,0,3.55368
Gel pad,0,3.29134
Gel pad,0,4.390295
Gel pad,0,3.21074
Gel pad,0,3.06605
Gel pad,0,2.333695
Gel pad,0,3.69759
Gel pad,0,2.475135
Gel pad,0,5.599425
Gel pad,0,3.74582
Gel pad,0,3.909165
Gel pad,0,3.055715
Gel pad,0,3.82837
Gel pad,0,3.66314
Gel pad,0,3.97137
Gel pad,0,3.935035
Gel pad,0,2.588625
Gel pad,0,4.543045
Gel pad,0,4.91296
Gel pad,0,3.403075
Gel pad,0,2.538315
Gel pad,0,3.866265
Gel pad,0,3.24545
Gel pad,0,2.91343
Gel pad,0,2.80709
Gel pad,0,2.964455
Gel pad,0,2.223325
Gel pad,0,3.30226
Gel pad,0,4.389775
Gel pad,0,4.11099
Gel pad,0,4.04729
Gel pad,0,3.701035
Gel pad,0,4.390295
Gel pad,0,2.355275
Gel pad,0,2.76536
Gel pad,0,3.10713
Gel pad,0,2.95087
Gel pad,0,3.54653
Gel pad,0,4.745455
Gel pad,0,2.327325
Gel pad,0,4.22097
Gel pad,0,4.258345
Gel pad,0,3.605615
Gel pad,0,4.572685
Gel pad,0,3.02445
Gel pad,0,3.785665
Gel pad,0,3.58917
Gel pad,0,3.67003
Gel pad,0,3.266185
Gel pad,0,4.304235
Gel pad,0,2.38472
Gel pad,0,4.225
Gel pad,0,4.467515
Gel pad,0,2.97726
Gel pad,0,3.378115
Gel pad,0,3.88804
Gel pad,0,4.10787
Gel pad,0,2.862925
Gel pad,0,2.63952
Gel pad,0,5.47118
Gel pad,0,3.4554
Gel pad,0,5.020145
Gel pad,0,3.96019
Gel pad,0,4.3511
Gel pad,0,2.616185
Gel pad,0,3.53223
Gel pad,0,4.19341
Gel pad,0,3.786185
Gel pad,0,2.79799
Gel pad,0,2.63952
Gel pad,0,3.32774
Gel pad,0,2.65226
Gel pad,0,2.366065
Gel pad,0,3.838835
Gel pad,0,3.02445
Gel pad,0,4.111445
Gel pad,0,4.56716
Gel pad,0,4.51269
Gel pad,0,4.91296
Gel pad,0,3.2383
Gel pad,0,4.038385
Gel pad,0,3.31435
Gel pad,0,4.719975
Gel pad,0,3.991
Gel pad,0,4.70743
Gel pad,0,3.425305
Gel pad,0,3.49856
Gel pad,0,2.93943
Gel pad,0,3.074305
Gel pad,0,2.67215
Gel pad,0,3.175055
Gel pad,0,2.535
Gel pad,0,2.812355
Gel pad,0,3.005535
Gel pad,0,2.433795
Gel pad,0,3.4554
Gel pad,0,2.800265
Gel pad,0,4.575025
Gel pad,0,5.032365
Gel pad,0,4.16455
Gel pad,0,2.83179
Gel pad,0,4.56157
Gel pad,0,4.73967
Gel pad,0,4.38594
Gel pad,0,4.51269
Gel pad,0,3.20086
Gel pad,0,4.64555
Gel pad,0,3.169725
Gel pad,0,4.210505
Gel pad,0,4.6072
Gel pad,0,2.834
Gel pad,0,3.04668
Gel pad,0,3.016
Gel pad,0,4.34772
Gel pad,0,2.460575
Gel pad,0,3.876665
Gel pad,0,2.366065
Gel pad,0,4.212975
Gel pad,0,4.09552
Gel pad,0,2.487875
Gel pad,0,4.966
Gel pad,0,2.75925
Gel pad,0,2.871765
Gel pad,0,2.6
Gel pad,0,2.433795
Gel pad,0,2.30542
Gel pad,0,2.460575
Gel pad,0,2.21858
Gel pad,0,2.646735
Gel pad,0,2.63393
Gel pad,0,4.09292
Gel pad,0,3.31435
Gel pad,0,2.97726
Gel pad,0,3.79015
Gel pad,0,2.6
Gel pad,0,2.59753
Gel pad,0,3.19826
Gel pad,0,3.335345
Gel pad,0,3.55069
Gel pad,0,2.970175
Gel pad,0,2.620215
Gel pad,0,3.62427
Gel pad,0,2.75925
Gel pad,0,2.65226
Gel pad,0,2.779075
Gel pad,0,3.991
Gel pad,0,3.770585
Gel pad,0,4.81
Gel pad,0,3.175055
Gel pad,0,4.420455
Gel pad,0,3.957005
Gel pad,0,2.79578
Gel pad,0,2.509065
Gel pad,0,2.885025
Gel pad,0,4.05769
Gel pad,0,3.045965
Gel pad,0,2.632305
Gel pad,0,1.756235
Gel pad,0,5.943535
Gel pad,0,2.716025
Gel pad,0,2.99637
Gel pad,0,2.63952
Gel pad,0,3.295175
Gel pad,0,2.475135
Gel pad,0,4.09292
Gel pad,0,3.660865
Gel pad,0,2.886455
Gel pad,0,3.725475
Gel pad,0,3.41237
Gel pad,0,3.679845
Gel pad,0,3.02445
Gel pad,0,2.763865
Gel pad,0,4.274725
Gel pad,0,2.906865
Gel pad,0,3.494335
Gel pad,0,3.055715
Gel pad,0,2.61053
Gel pad,0,3.7141
Gel pad,0,2.538315
Gel pad,0,2.65148
Gel pad,0,3.187015
Gel pad,0,4.28805
Gel pad,0,2.470845
Gel pad,0,2.74313
Gel pad,0,2.722265
Gel pad,0,4.6917
Gel pad,0,4.36709
Gel pad,0,2.436395
Gel pad,0,2.822105
Gel pad,0,3.73282
Gel pad,0,3.20684
Gel pad,0,3.55602
Gel pad,0,3.2604
Gel pad,0,2.555735
Gel pad,0,3.926455
Gel pad,0,2.30542
Gel pad,0,2.58778
Gel pad,0,4.60031
Gel pad,0,3.169725
Gel pad,0,2.632305
Gel pad,0,2.542475
Gel pad,0,4.1483
Gel pad,0,2.705885
Gel pad,0,2.906865
Gel pad,0,3.021655
Gel pad,0,2.885025
Gel pad,0,3.17369
Gel pad,0,3.02445
Gel pad,0,3.86516
Gel pad,0,4.550455
Gel pad,0,3.8701
Gel pad,0,3.54653
