condition,generation,L_daughter(um),L_mother(um),L_daughter/L_mother
PLL in-chamber,G1,2.595326957,4.990647937,0.520038077
PLL in-chamber,G1,2.395320981,4.990647937,0.479961923
PLL in-chamber,G1,2.067103886,4.681835421,0.441515709
PLL in-chamber,G1,2.614731535,4.681835421,0.558484291
PLL in-chamber,G1,2.298766379,4.334889514,0.530294111
PLL in-chamber,G1,2.036123135,4.334889514,0.46970589
PLL in-chamber,G1,2.838740238,5.463438818,0.519588547
PLL in-chamber,G1,2.62469858,5.463438818,0.480411453
PLL in-chamber,G1,2.377617691,4.635105211,0.512958732
PLL in-chamber,G1,2.25748752,4.635105211,0.487041268
PLL in-chamber,G1,2.183539111,4.346021672,0.502422509
PLL in-chamber,G1,2.162482561,4.346021672,0.497577491
PLL in-chamber,G1,2.330178058,5.064181164,0.460129285
PLL in-chamber,G1,2.734003106,5.064181164,0.539870715
PLL in-chamber,G1,2.329587911,4.660454555,0.49986281
PLL in-chamber,G1,2.330866644,4.660454555,0.50013719
PLL in-chamber,G1,1.745801461,4.009306333,0.435437284
PLL in-chamber,G1,2.263504872,4.009306333,0.564562716
PLL in-chamber,G1,2.430934389,4.703560301,0.51682858
PLL in-chamber,G1,2.272625912,4.703560301,0.48317142
PLL in-chamber,G1,1.870552112,4.396052667,0.425507212
PLL in-chamber,G1,2.525500555,4.396052667,0.574492788
PLL in-chamber,G1,2.075133338,3.988803072,0.520239606
PLL in-chamber,G1,1.913669734,3.988803072,0.479760394
PLL in-chamber,G1,2.120805618,4.131305955,0.513349929
PLL in-chamber,G1,2.010500337,4.131305955,0.486650071
PLL in-chamber,G1,2.050627855,4.300941704,0.476785782
PLL in-chamber,G1,2.25031385,4.300941704,0.523214218
PLL in-chamber,G1,2.010413064,4.057828101,0.495440668
PLL in-chamber,G1,2.047415037,4.057828101,0.504559332
PLL in-chamber,G1,2.538063542,5.102855458,0.497381038
PLL in-chamber,G1,2.564791916,5.102855458,0.502618963
PLL in-chamber,G1,2.432930251,4.624409537,0.52610614
PLL in-chamber,G1,2.191479286,4.624409537,0.47389386
PLL in-chamber,G1,2.108099964,4.327694997,0.487118423
PLL in-chamber,G1,2.219595033,4.327694997,0.512881577
PLL in-chamber,G1,2.26872025,5.125668031,0.442619428
PLL in-chamber,G1,2.856947781,5.125668031,0.557380572
