Condition,Generation,width(um),Lb(um),Ld(um),growth rate(1/min),Doubling time(min)
PLL rinsed,G1,0.95643886,2.684422269,4.538234858,0.003328662,158.8640493
PLL rinsed,G1,0.919413456,2.487406723,4.873388747,0.003526575,191.8510898
PLL rinsed,G1,0.940090912,2.995760352,5.663157913,0.003642083,175.7585323
PLL rinsed,G1,0.988264659,2.749870579,4.636067631,0.004919928,105.4248655
PLL rinsed,G1,0.992794024,2.632921798,4.213247183,0.003692835,127.4681348
PLL rinsed,G1,1.066524715,2.076216562,3.970407621,0.002504988,256.8940632
PLL rinsed,G2,0.922366899,2.754813874,4.759673473,0.002750691,200.1190902
PLL rinsed,G2,0.917744046,2.730431295,4.909504777,0.002858367,203.9827987
PLL rinsed,G2,0.922341229,3.289684829,5.279130241,0.003321146,143.3282494
PLL rinsed,G2,0.951588371,3.274837094,4.097659806,0.001468,154.7726342
PLL rinsed,G2,0.983215593,1.929785188,3.896483017,0.002593614,271.680769
PLL rinsed,G2,1.008664266,2.511490565,4.550531661,0.003847361,153.4542429
PLL rinsed,G2,1.054427832,2.070835775,3.64034271,0.001738104,321.7921741
PLL rinsed,G1,0.869349964,3.015789389,4.095801442,0.002941521,105.1912352
PLL rinsed,G1,0.953385829,2.526819704,4.184212446,0.004347226,116.9302951
PLL rinsed,G1,0.997729111,2.584958596,4.436566996,0.004522596,118.5846176
PLL rinsed,G1,1.002801067,2.936717351,4.507435764,0.002023549,213.4106477
PLL rinsed,G1,1.03377629,2.684184269,4.584647329,0.00462606,116.5287008
PLL rinsed,G1,1.081266829,2.606726006,4.682445692,0.005180305,113.809745
PLL rinsed,G1,0.977034234,2.687662546,4.246124917,0.002967229,152.8769931
PLL rinsed,G1,0.921323198,2.591119902,4.135433929,0.002740386,169.1915775
PLL rinsed,G2,0.979486564,2.447186784,4.011010898,0.003227707,154.3507018
PLL rinsed,G2,1.02018206,2.569334478,4.333328521,0.003583165,144.7894861
PLL rinsed,G2,1.045024015,2.710470262,3.719565815,0.004463034,71.7406609
PLL rinsed,G2,1.053992383,2.526514149,4.492069869,0.004624527,124.7998185
PLL rinsed,G2,1.002748082,2.822065633,4.742757526,0.003114588,167.8229756
PLL rinsed,G1,0.907711085,2.686890601,4.443938186,0.003382702,149.846194
PLL rinsed,G1,0.947203665,2.64609662,4.122621428,0.002416502,185.0567538
PLL rinsed,G1,0.996769032,2.766353301,4.811210818,0.002902421,191.9226136
PLL rinsed,G1,0.962396502,2.627559701,4.726521341,0.003202606,182.1439527
PLL rinsed,G2,0.913961978,3.534034531,5.0956377,0.004247785,86.81662093
PLL rinsed,G2,0.938613827,2.582155689,4.103308892,0.001594505,292.9119097
PLL rinsed,G2,0.913477599,2.317650058,4.197892157,0.00378356,158.1454379
PLL rinsed,G2,0.993085812,2.658075077,3.87115164,0.002557837,148.4532101
PLL rinsed,G2,1.050976287,2.689602359,4.249656926,0.00422185,107.4727458
PLL rinsed,G1,0.973270334,2.340549531,3.934083141,0.001753299,298.6220967
PLL rinsed,G1,0.925577288,2.715368609,3.870028279,0.003073152,116.5004514
PLL rinsed,G1,0.92628664,2.822169783,5.591289062,0.003015274,227.924059
PLL rinsed,G1,0.998080825,2.773346224,4.329079114,0.001982492,226.4384917
PLL rinsed,G1,0.929748206,2.968243718,4.526561687,0.001675166,253.9252611
PLL rinsed,G1,0.970745446,3.28422605,4.649870007,0.002400627,146.1108639
PLL rinsed,G1,0.963603132,2.532403317,5.002082857,0.004106229,165.0520449
PLL rinsed,G2,0.963888818,2.271648795,4.94700508,0.002788672,280.6669785
PLL rinsed,G2,0.996684911,2.349473163,4.401696615,0.00252241,250.5795355
PLL rinsed,G2,1.003600985,2.732964254,4.895281909,0.003265927,179.5970214
PLL rinsed,G2,0.947349558,2.70460574,3.968973784,0.002972913,130.2613437
PLL rinsed,G2,0.894007352,2.771014562,4.808244674,0.005871304,94.48223026
PLL rinsed,G2,0.96957094,2.612313749,4.167453554,0.002008569,234.4476749
PLL rinsed,G2,0.939952259,2.227165255,3.748295649,0.002432433,215.8627728
PLL rinsed,G2,0.973105873,2.184411216,3.980636073,0.002593095,229.6591131
PLL rinsed,G1,0.982290131,2.585214038,4.085983728,0.003053503,151.1804087
PLL rinsed,G1,0.878561817,2.856746881,5.496420235,0.004909757,134.0025851
PLL rinsed,G2,0.938262719,2.509313306,4.0837208,0.001673483,293.395546
PLL rinsed,G2,0.941548648,2.719237735,3.655913657,0.001446454,207.181674
PLL rinsed,G2,0.93358993,3.065907915,4.741102618,0.003147875,139.5204671
PLL rinsed,G1,0.944124894,3.087281259,5.554633194,0.00499074,117.0382831
PLL rinsed,G1,0.938681992,2.669261102,4.353674315,0.003817864,127.159882
PLL rinsed,G1,0.94407555,2.55026646,4.364585052,0.004348737,124.4418727
PLL rinsed,G2,0.916052131,3.170908384,4.665855454,0.004762761,80.43745705
PLL rinsed,G2,0.919774934,2.490410396,3.888283858,0.003979277,110.953063
PLL rinsed,G1,0.983738737,2.530163758,4.361051022,0.003689517,146.4919335
PLL rinsed,G1,0.905964546,3.418527439,4.931563273,0.002492912,148.1703426
PLL rinsed,G1,0.948513081,2.706730586,5.07503682,0.003640722,173.67258
PLL rinsed,G1,0.962299197,3.026612676,4.204115257,0.002582139,128.548196
PLL rinsed,G1,0.942766056,2.621414249,4.796790504,0.005558935,108.010901
PLL rinsed,G1,0.976031972,2.987010755,3.843493932,0.001013495,252.0606039
PLL rinsed,G1,0.966586671,2.377902979,4.413152988,0.002400914,259.3115067
PLL rinsed,G1,1.012715185,2.526082884,4.030919494,0.001479369,318.5757601
PLL rinsed,G1,0.905767884,2.852216838,4.43319747,0.003533265,124.1044468
PLL rinsed,G2,1.02913169,2.543937589,4.292425415,0.002299299,229.2340407
PLL rinsed,G2,0.937013781,2.92155894,4.344740186,0.002856693,140.1191381
PLL rinsed,G2,0.926682898,2.786493371,4.045228133,0.002235012,168.3879666
PLL rinsed,G2,0.869750001,2.8308727,4.010414681,0.003656041,96.23752119
PLL rinsed,G2,0.945323276,2.462894789,4.211679943,0.005322047,100.0502627
PLL rinsed,G2,1.011319654,2.32956972,4.116747962,0.003063091,187.2885083
PLL rinsed,G2,0.982237316,2.342502121,3.618520401,0.002199896,199.6110682
PLL rinsed,G2,0.931238435,2.894326411,4.254420048,0.002694819,144.2275305
PLL rinsed,G1,0.933159207,2.939431967,4.20456752,0.002878616,124.0248014
PLL rinsed,G1,1.002711484,2.892201583,4.588854235,0.003448111,133.0183754
PLL rinsed,G1,0.9019519,2.756687984,4.625085177,0.003329127,156.5272365
PLL rinsed,G1,0.87908305,2.372566201,4.726010008,0.003285638,211.0192393
PLL rinsed,G1,0.911089712,2.492963801,4.846750121,0.004292773,155.8096718
PLL rinsed,G1,0.969603627,2.727056621,4.931932292,0.003834958,155.4597858
PLL rinsed,G1,0.947194432,2.621534509,4.601123369,0.005223095,108.4342674
PLL rinsed,G2,0.87384249,2.518728321,3.92785413,0.00280267,157.1275836
PLL rinsed,G2,0.883901783,2.194038475,3.833224878,0.003657903,151.293013
PLL rinsed,G2,0.911591947,2.586331947,4.431681823,0.004291774,125.8881619
PLL rinsed,G1,0.96306301,2.782375046,5.462752823,0.002612312,259.6353339
PLL rinsed,G1,0.904838135,2.822927904,4.791330872,0.005391376,98.78411324
PLL rinsed,G1,0.922751976,3.126901663,4.905738818,0.002137666,212.1782515
PLL rinsed,G1,0.968896497,2.804522912,4.465738156,0.005550961,84.44900154
PLL rinsed,G1,1.011723558,2.740089426,4.441637552,0.002868702,169.6547003
PLL rinsed,G1,0.984826207,2.24628972,4.060366161,0.005076419,115.7413171
PLL rinsed,G1,0.948497848,2.722441256,4.900845861,0.003139553,188.4213063
PLL rinsed,G2,0.900636781,3.018295184,4.847818959,0.002756849,173.0800116
PLL rinsed,G2,1.015099632,2.413486344,4.160811496,0.002751027,196.4731661
PLL rinsed,G2,0.939992474,2.337229073,4.229642101,0.004860725,122.9115221
PLL rinsed,G2,0.890199305,2.602679387,4.109242769,0.001897098,242.7639555
PLL rinsed,G2,0.870669742,2.363255817,4.055242053,0.00218617,245.0621542
PLL rinsed,G2,0.960302751,2.373059676,3.92091293,0.004013927,126.152575
PLL rinsed,G2,0.895932795,2.872612734,4.318210929,0.002403796,171.0238212
PLL rinsed,G2,0.944589342,2.431796407,5.17108824,0.002816991,266.3654411
PLL rinsed,G2,0.916261036,2.722980456,4.837869378,0.001716617,336.957371
PLL rinsed,G2,0.982144957,2.471202421,3.813539566,0.004014383,109.0847091
PLL air-dried,G1,0.939412609,2.61933091,4.537027411,0.003867698,143.0251856
PLL air-dried,G2,0.944844603,2.226456445,3.594802582,0.003670089,131.7622952
PLL air-dried,G2,0.882236949,2.699091239,4.600937145,0.005774721,93.00131827
PLL air-dried,G2,0.890920084,2.790244249,4.08057852,0.003647056,105.2081343
PLL air-dried,G1,0.973398867,3.057644611,4.4444736,0.003550477,106.2652687
PLL air-dried,G2,0.936821451,2.543039998,5.180379047,0.005768686,122.737293
PLL air-dried,G2,0.867901939,3.109653657,4.606355322,0.002821562,140.399736
PLL air-dried,G2,0.888989527,2.94951709,4.60986415,0.004055553,110.9473926
PLL air-dried,G1,0.973281866,2.565687445,3.959124294,0.003718287,115.6194856
PLL air-dried,G1,0.984724337,2.232513759,4.282720176,0.004528866,142.8593694
PLL air-dried,G2,0.915086398,2.485867894,4.193943803,0.003219642,163.6985105
PLL air-dried,G2,0.898734797,2.376995384,3.641332666,0.003577803,118.0373445
PLL air-dried,G2,0.942784837,2.146000972,3.668301245,0.004596222,117.6604067
PLL air-dried,G2,0.940696406,2.531554511,4.037879677,0.002991069,157.4167027
PLL air-dried,G2,0.879557832,2.796468743,4.69099873,0.003318055,156.980659
PLL air-dried,G1,0.973318798,2.680166846,3.992248048,0.003005151,133.8413898
PLL air-dried,G1,0.93946345,2.803328938,4.098048624,0.003281865,116.786287
PLL air-dried,G2,0.949885191,2.48627371,4.406088939,0.00508654,113.2857693
PLL air-dried,G2,0.920477717,2.176871581,3.989590478,0.004702921,129.7925515
PLL air-dried,G2,0.914182854,2.278906796,3.345264479,0.0028646,132.4692669
PLL air-dried,G1,0.901643204,2.328354137,4.012428909,0.004363501,123.7422483
PLL air-dried,G2,0.832938932,2.063300536,3.834501132,0.004248866,147.0017574
PLL air-dried,G1,0.950420513,2.548739029,4.555793732,0.004222063,138.4944582
PLL air-dried,G2,0.953431441,2.637106611,4.124150063,0.004275555,105.4779623
PLL air-dried,G1,1.013978323,2.369979957,3.629645816,0.002538931,169.4147513
PLL air-dried,G1,0.968837255,2.727143275,4.141655648,0.003975389,106.0310173
PLL air-dried,G2,0.970070806,2.177374869,4.472643181,0.005543896,129.0207176
PLL air-dried,G2,0.972164633,2.350197466,4.924384952,0.00312927,237.7436574
PLL in-chamber,G1,0.928177601,2.288318602,4.458517529,0.003098897,213.8304664
PLL in-chamber,G1,0.930917835,2.488572995,3.94950804,0.003692913,126.1627297
PLL in-chamber,G1,0.930962176,2.227856603,3.986811303,0.004612488,125.197774
PLL in-chamber,G1,0.946922189,2.030218036,4.029728604,0.003646201,186.6716627
PLL in-chamber,G1,0.958583009,1.938933124,3.707093517,0.003491702,184.1411511
PLL in-chamber,G1,1.058225174,2.214855803,4.300285089,0.002020671,326.1240338
PLL in-chamber,G1,0.968809389,2.227023571,3.723283196,0.002181723,237.62889
PLL in-chamber,G1,0.998323894,2.251189513,4.266118881,0.003871155,163.9855407
PLL in-chamber,G1,0.966274018,2.487167692,3.619529287,0.001891168,200.525907
PLL in-chamber,G2,0.89902143,2.465922305,3.52297984,0.002278767,158.3333452
PLL in-chamber,G1,0.911023433,2.523217135,4.489911605,0.004108899,141.2225822
PLL in-chamber,G1,0.969914195,2.236358129,3.738692083,0.003739796,136.2174723
PLL in-chamber,G1,0.924653545,2.573849628,3.963514138,0.002721367,160.074362
PLL in-chamber,G1,0.957850198,2.716258974,3.45342106,0.001715488,142.1158844
PLL in-chamber,G1,0.904243445,2.426999026,4.643775044,0.002288309,283.6002431
PLL in-chamber,G2,0.881230023,2.036976663,3.780632594,0.002706411,226.6941219
PLL in-chamber,G2,0.935613642,2.180629624,3.939207369,0.003262469,179.8608961
PLL in-chamber,G2,1.019162561,2.598325109,3.996926359,0.003336535,130.2293338
PLL in-chamber,G2,0.892092316,2.354476119,3.851688912,0.003465548,143.2528749
PLL in-chamber,G1,1.010696639,2.054701883,3.673812182,0.002843207,202.6739292
PLL in-chamber,G1,0.997089201,2.624119235,3.589689933,0.000851291,372.5385915
PLL in-chamber,G1,0.937872518,2.653045646,4.051599105,0.002870717,148.8059491
PLL in-chamber,G1,0.913353102,2.831331542,3.859486336,0.002373595,132.0044809
PLL in-chamber,G2,0.93776058,2.704908897,3.938563068,0.00341454,111.1281749
PLL in-chamber,G2,0.942654108,2.277985853,4.051966921,0.004252232,136.4719318
PLL in-chamber,G2,0.932644699,2.386163012,3.593624288,0.001766261,230.0898254
PLL in-chamber,G1,0.909213259,2.401375075,4.096312428,0.004173175,128.9710119
PLL in-chamber,G1,0.89898252,2.755995978,4.864967281,0.002388584,239.4372983
PLL in-chamber,G1,0.94240385,2.277988685,4.244436566,0.002564916,240.9185554
PLL in-chamber,G2,0.91169957,3.094720446,4.627631189,0.003093382,131.1134757
PLL in-chamber,G2,0.856028098,2.636920886,4.113451598,0.003300299,134.0342384
PLL in-chamber,G2,0.8841463,3.251598327,4.300463716,0.001066534,265.0233298
PLL in-chamber,G2,0.913786956,2.420937775,4.599000143,0.002980669,216.6705582
PLL in-chamber,G2,0.888781628,3.190995953,4.858144884,0.002561311,162.8832745
PLL in-chamber,G2,0.977191782,2.202153291,3.983580815,0.002243854,266.19236
PLL in-chamber,G2,0.875401209,2.185916786,4.357167012,0.005210022,131.5200581
PLL in-chamber,G2,0.897942944,2.761013327,4.441619869,0.003770645,127.0471846
PLL in-chamber,G2,1.012920079,2.213494617,3.286402842,0.002766271,144.5082881
PLL in-chamber,G2,0.960717697,2.069191506,3.75949458,0.003726892,161.520952
PLL in-chamber,G2,0.896583051,2.200556709,3.140177922,0.002073131,173.7100683
PLL in-chamber,G2,0.910837801,2.10048704,3.549333612,0.002788148,189.8618002
PLL in-chamber,G2,0.900810518,2.357078482,3.748598769,0.003110207,150.540076
PLL in-chamber,G2,0.876434402,2.68558002,4.38245106,0.003760684,131.1216261
PLL in-chamber,G2,0.874252194,2.37929529,3.536668556,0.002146869,186.5938965
Cell-Tak,G1,0.944373495,2.567283773,4.980923328,0.005612423,117.3965751
Cell-Tak,G1,0.979791499,2.35445044,4.539294602,0.002025494,322.0083133
Cell-Tak,G1,0.914995306,2.994045287,5.465410328,0.005477915,110.472565
Cell-Tak,G1,0.938217689,2.391251187,4.6858732,0.004381333,154.5023483
Cell-Tak,G1,0.921720189,3.025826272,4.893815894,0.004018573,120.4652684
Cell-Tak,G1,0.954217372,2.702432196,4.65449637,0.003296685,165.1652934
Cell-Tak,G2,0.968616749,2.541735844,3.695603507,0.002771368,136.4808741
