Time(min),Mean,Standard Deviation,1_1,1_10,1_11,1_12,1_13,1_14,1_15,1_16,1_17,1_18,1_19,1_2,1_20,1_21,1_22,1_23,1_24,1_25,1_26,1_27,1_28,1_29,1_3,1_30,1_31,1_34,1_4,1_5,1_6,1_7,1_8,1_9,2_1,2_10,2_11,2_12,2_13,2_14,2_15,2_16,2_17,2_2,2_22,2_23,2_24,2_25,2_26,2_27,2_28,2_29,2_3,2_30,2_31,2_4,2_5,2_6,2_7,2_8,2_9
10,,,,,,,,,,,,,,,,,,,,,,,,,,8.230018726,8.280342573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,8.189222449,8.295228303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,8.307182554,,8.437210102,,,,8.187610819,8.201651667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,8.425664765,,8.45808589,,,,8.262103086,8.173006255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,8.178155796,,,,,,8.42809893,,8.606257682,,,,8.404049977,8.122552704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,8.208673171,,,,,,8.488946566,,8.625020245,,,,8.2628098,8.224367588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,8.225483787,,,8.274169924,,8.230446754,8.304829845,,,,,8.377676583,,,,,,8.525742272,,8.61316952,,,,8.370516031,8.267769014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,8.324086134,0.226380959,8.480756935,,,8.303501892,,8.191500019,8.291554807,,,,,8.28184893,8.441141895,,,,,8.71309482,,8.540564595,,,,8.372509766,8.395967574,,7.91311049,7.963481885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,8.335161925,0.207363437,8.333302018,,,8.324104107,,8.264623393,8.168184965,,,,,8.250609238,8.633586729,,,,,8.629719449,,8.601896306,,,,8.389607093,8.353060974,,7.989928651,8.083320172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,8.310114015,0.136079581,8.409912722,,,8.285113976,,8.242796312,8.217141447,,,,,8.364814257,8.531450624,,,8.292741091,8.393504281,8.409210272,,8.43417152,,,8.467032434,8.220213729,8.156879624,,8.020006357,8.206721585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,8.381000438,0.184470505,8.37036854,8.497578954,8.553762539,8.227625758,,8.281527631,8.182925534,8.487548469,8.439944384,,,8.221515124,8.5524895,8.722821793,8.626695892,8.313747863,8.364766847,8.635004819,,8.60047126,,,8.474877223,8.356964493,8.292074443,,8.029821664,8.136966363,8.193413638,8.200097338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,8.215921628,0.149190746,8.284820526,8.439773473,8.369579502,8.250196108,,8.085388441,8.054289689,8.175381569,8.199555781,,,8.154285954,8.429566698,8.496910678,8.231297599,8.31664712,8.412154396,8.414153744,,8.278476187,8.119230091,8.124502083,8.243701857,8.028130229,8.062721251,,8.069289759,7.969970476,8.089399453,8.098618034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,8.340735663,0.147604611,8.371651722,8.466057491,8.598263145,8.366918601,,8.24438325,8.215075886,8.27348666,8.486640342,,,8.292688622,8.549757262,8.568648661,8.551050015,8.225744887,8.241863262,8.390172505,,8.474744435,8.26026698,8.309801372,8.529235373,8.157554295,8.162550084,8.408817409,8.166802699,8.118565089,8.216037876,8.212349309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,8.265305706,0.129555007,8.275635009,8.334615375,8.465626499,8.217680971,8.287237731,8.179211683,8.11332219,8.220581934,8.248358534,8.259551248,8.265940829,8.248563851,8.456638362,8.391443239,8.360052504,8.282356926,8.301557208,8.435780962,,8.400086596,8.053636066,8.310616718,8.438963704,8.332473932,8.189749005,8.358104283,7.979837107,7.996060405,8.146217743,8.143964856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,8.365364171,0.149010493,8.415971947,8.453120172,8.592789072,8.353049691,8.390541539,8.262277129,8.245981146,8.23717308,8.320614425,8.461729735,8.306944058,8.379064891,8.658660061,8.566108404,8.558918883,8.226899272,8.355884198,8.500456633,,8.522937217,8.379528637,8.307776266,8.479947713,8.270218426,8.256493654,8.52388672,8.078461766,8.087466674,8.184266288,8.218393256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,8.320703058,0.161438541,8.406768504,8.444865617,8.531272394,8.279249102,8.313965217,8.295769321,8.205886126,8.200970208,8.341694189,8.392172589,8.350077868,8.244975936,8.632739493,8.588013251,8.560742804,8.156957666,8.392705845,8.58632354,8.067091167,8.454834688,8.144906776,8.22521479,8.366016929,8.366794291,8.128556484,8.442064735,8.056214677,8.009379884,8.221657354,8.203631964,8.301699817,8.349284634,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,8.323389944,0.143267758,8.400013979,8.382923495,8.581004583,8.264818561,8.285863564,8.244546663,8.231060432,8.266881353,8.356376267,8.361964362,8.264977561,8.342159383,8.536047524,8.571712314,8.430431504,8.212340179,8.315275047,8.565861117,8.03619817,8.457514931,8.276630332,8.233323167,8.466695145,8.384838103,,8.453194438,8.048983423,8.024629805,8.222565656,8.292813377,8.219365843,8.269814731,,,,,,,,,8.347653211,,,,,,,,,,,,,,,,,,
95,8.328319463,0.173298834,8.282560848,8.444097848,8.448680482,8.284049777,8.343348599,8.301629544,8.17267537,8.135448786,8.398382127,8.560996431,8.242168765,8.342960986,8.46506879,8.687601916,8.501330025,8.273694727,8.366725626,,8.169789512,8.514656586,8.144962683,8.288218348,8.41595904,,,8.689476094,8.094870442,,8.143614978,8.263234176,8.226858531,8.234751022,,7.984595752,,,,,,,8.148060266,,,,8.518281332,8.628603781,,,,,,8.180175095,8.26533345,,,,,,
