Time(min),Mean,Standard Deviation,1_1,1_10,1_11,1_12,1_13,1_14,1_15,1_16,1_17,1_18,1_19,1_2,1_20,1_21,1_22,1_23,1_24,1_25,1_26,1_27,1_28,1_29,1_3,1_30,1_31,1_32,1_4,1_5,1_6,1_7,1_8,2_1,2_10,2_11,2_12,2_13,2_15,2_16,2_17,2_18,2_19,2_2,2_20,2_21,2_22,2_23,2_24,2_25,2_26,2_27,2_28,2_29,2_3,2_30,2_31,2_32,2_4,2_5,2_6,2_7,2_8,2_9
10,,,,,,,,,,,8.429249,8.865569482,,,,,,,,,,,,,,,,,,9.122706462,9.553822958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,9.079137482,8.765089267,,,,,,,,,,,,,,,,,9.090128283,8.932494268,9.731248429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,8.590290653,8.732317493,8.704930667,,9.397627358,,,,,,,,,,,,,,9.03219549,8.748691458,8.948998913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,8.319095432,8.373410689,8.412544656,,9.23797361,,,,,,,,,,,,,,9.205499515,8.867404229,9.151582097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,8.360113912,,,,,8.458688216,8.662012732,8.556250128,,10.03445473,,,,,,,,,,,,,,9.157793217,9.123574754,9.333608162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,8.335953139,,,,,8.645809616,8.390176151,8.664697911,,9.047941678,,,,,,,,,,,,,,8.71042577,9.056517524,8.852418593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,8.382736604,,,,,8.661029912,8.356172558,8.381509004,,9.076615284,,,,,,,,,,,,8.511984395,,8.958655259,9.310407999,9.223707104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,8.667186909,0.242104856,,8.458092647,8.483250063,8.413752751,,,,,8.864460594,8.537512032,8.400158634,,8.835782949,,,,,,,,,,,,8.521650131,,8.776015398,9.00209081,9.046289992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,8.458371584,8.71143269,8.172903748,,,,,,8.523586575,8.588454766,,8.663021864,,,,,,,,,,,,8.499522099,,8.595924445,9.078657627,8.93993727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,8.659422036,0.346169411,,8.290310598,8.722031627,8.36709013,8.488615868,8.561874548,,,,8.667624547,8.409407952,,8.724956244,,,,,,,,,,,,8.210828265,,9.061071151,9.326959602,9.082293902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,8.510134691,0.302713386,,8.497432241,8.755507397,8.326129335,8.312053211,8.494573976,,,8.56716572,8.492448987,8.406527515,,8.815754465,,,,,,,8.066445525,8.014467468,,,,8.169882788,,8.929407054,8.908711665,8.895513025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,8.452967379,0.317021372,,8.585519445,8.676441707,8.462209558,8.325011389,8.22021883,,,,8.25597852,8.378945565,,8.85296221,,,,,,,8.138356046,8.125061306,,8.290750192,,8.12614697,,8.846928467,8.735117206,9.132985001,,,8.094845648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,8.386951354,0.335510574,8.142399365,8.410856603,8.487349582,8.064910579,8.196756025,8.335263132,,,,8.809475448,8.206208279,7.981742633,8.665248065,,,,,8.12739134,8.2180306,8.283563687,8.216038681,,8.220355601,,8.273708859,,8.86075915,9.033749952,9.21589086,8.181923825,,8.194356173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,8.33749658,0.340023445,8.373848391,8.335879513,8.310968212,8.053665635,8.442991078,8.359571683,,,8.006947101,8.641232835,8.052531182,8.284383126,8.716260301,,,,,8.036402963,8.203756579,8.394468465,8.315273284,8.296322281,7.947396456,8.12582768,8.377119927,,9.035926379,8.72222251,9.334001662,8.091588085,7.928557618,8.050271562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,8.276075649,0.360155529,8.085291611,8.307841457,8.498332488,8.080565267,8.340676961,8.257860677,,,8.18119803,8.577624955,8.30060796,7.73512518,8.870497648,,,7.628511739,7.713280083,8.058180141,8.199627922,8.286981446,8.250238661,8.112510855,8.025675138,8.157053516,8.410081392,,8.986969992,8.746890621,9.177478115,8.150559363,8.133460543,8.180920767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,8.275035558,0.393455009,8.022716785,8.349068837,8.306231684,7.943002173,8.422309385,8.375278199,,,8.398734779,8.584048242,8.286875481,,8.684601256,,,7.596310152,7.56947609,7.985061307,8.141789425,8.062380008,7.975433104,8.726230324,8.106812424,7.959991848,8.256978468,,9.042233,8.791862153,9.198378553,7.934317571,8.318280005,8.112523256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
