Time(min),Mean,Standard Deviation,1_1,1_10,1_11,1_12,1_13,1_14,1_15,1_16,1_17,1_18,1_19,1_2,1_20,1_21,1_22,1_23,1_24,1_3,1_4,1_5,1_6,1_7,1_8,1_9,2_1,2_10,2_11,2_12,2_13,2_14,2_15,2_16,2_17,2_18,2_19,2_2,2_20,2_21,2_22,2_23,2_24,2_25,2_26,2_3,2_4,2_5,2_6,2_7,2_8,2_9
20,,,,,,,,,,,,8.505007407,8.439727441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,8.443465249,8.570900523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,9.095709664,9.15258383,,,8.357506436,8.395558912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,8.949945439,9.26853147,,,8.515411906,8.421705813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,8.742593706,8.908345278,,,8.40833787,8.364014043,,8.484270566,8.259597634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,8.863090818,9.202767025,,,8.271876615,8.455277818,,8.429735622,8.536924132,,,,8.103117558,8.095493213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,8.526851088,0.394411776,8.187008426,,,8.175693607,,8.936161492,9.133343197,9.012351742,8.927050309,8.442304734,8.433729048,,8.50448519,8.642643082,,,,8.065917697,8.0468533,8.040673125,8.100392388,8.953977188,8.827032876,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,8.482363432,0.357259417,8.21034403,,,7.988291259,,8.826528257,9.088391983,8.630420971,8.862183533,8.303071906,8.316901436,,8.686132811,8.805912085,,,,8.150862718,8.048637455,8.121781915,8.118934517,8.810031438,8.749388591,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,8.482273441,0.391062146,8.013424031,,,8.140951898,,8.662715017,9.147197876,8.836384363,9.005031066,8.241701188,8.397935338,,8.554454946,8.652874714,,,,8.034072178,8.070093734,8.035338705,8.20569773,8.695358493,9.023143784,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,8.420121283,0.318753124,7.980017694,,,8.066752082,,8.776796905,8.900317123,8.617338609,8.704173606,8.281368748,8.41788521,8.090119386,8.670674145,8.514544254,,,8.113753668,8.105299274,8.047855312,,,8.618011434,8.817033085,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,8.355901957,0.325978771,7.852326243,,,8.024744528,,8.638445499,8.894741515,8.44819418,8.629931262,8.226893329,8.258162099,8.153593742,8.547183262,8.647000264,,,8.084395405,8.093204854,8.088531691,8.053149639,8.120868058,8.870101768,8.774767881,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,8.465886143,0.37738004,8.011538252,,,8.006651352,,8.728432445,9.038938996,8.799126837,8.661182564,8.229171851,8.205845038,8.294751911,8.578544252,8.825194772,,,8.169550725,8.039248671,8.036034627,,,9.014173792,8.815792204,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,8.359257881,0.342978943,7.974661005,,,8.05816248,,8.669567653,8.852074771,8.748570093,8.882923407,8.187271885,8.203283843,8.025050758,8.541608181,8.730394983,,,8.130228188,8.022483483,8.028660017,8.059496451,8.035209991,8.73112364,8.585871027,,,,,,,,,,,,,,,,,,,,,,,,,,,
