Time(min),Mean,Standard Deviation,1_1,1_10,1_11,1_12,1_13,1_17,1_18,1_19,1_2,1_22,1_24,1_27,1_28,1_29,1_30,1_31,1_5,1_6,1_8,1_9,2_10,2_13,2_15,2_16,2_17,2_2,2_20,2_21,2_23,2_3,2_5,2_6,2_7,2_8,2_9
0,,,,8.427026,,,9.390932871,,,,,8.807128008,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,8.017913473,,,9.317114944,,,,,8.912934526,,,,,,,,8.244537117,,,,,,,,,,,,,,,,,
10,,,,8.098424987,,,8.725050447,,,,,8.662613365,,,,,,,,8.950539264,,,,,,,,,,,,,,,,,
15,,,,7.834548978,,,9.034540354,,,,,8.761056292,,,,,,,,8.765477601,,,,,,,,,,,,,,,,,
20,,,,8.604469734,,,8.72680562,,,,,8.642936847,,,,,,,,8.434939032,,,,,,,,,,,,,,,,,
25,,,,8.345967336,,,8.560853346,,,,,8.563945518,,,,,,,,8.695879118,,,,,,,,,,,,,,,,,
30,,,,8.217760211,,,8.49440604,,,,,8.368323405,8.178157397,,,,,,,8.580627889,,8.234225203,,,,,,,,,,,,,,,
35,,,,8.255907788,,,8.838538751,,,,,8.351264404,8.018853356,,,,,,,8.379348513,,8.124920299,,,,,,,,,,,,,,,
40,,,8.452995872,8.359267613,,,8.674088594,,,,8.375847061,8.316612644,8.012128546,,,,,,,8.495684845,,8.240703327,,,,,,,,,,,,,,,
45,,,8.370320635,8.313975316,,,8.771101476,,,,8.357443115,8.318998979,8.021862721,,,,,,,8.381699305,,8.117633066,,,,,,,,,,,,,,,
50,,,8.309402623,8.20272026,,,8.964608682,,,,8.365432238,8.357328247,7.747612566,,,,,,,8.40009977,,8.340678401,,,,,,,,,,,,,,,
55,,,8.432621414,8.097157343,8.761303476,,8.772432931,,,,8.331847907,8.588813528,7.722968363,,,,8.315053905,,,8.342583696,,7.920054188,,,,,,,,,,,,,,,
60,,,8.422000015,8.127553175,8.503475639,,8.59088051,,,,8.372249342,8.445576299,7.625579192,,,,8.343760493,,,8.402796305,,8.189829107,,,,,,,,,,,,,,,
65,8.308631882,0.330880034,8.232680619,8.014409144,8.753731314,,8.55635349,8.466543055,8.69938741,,8.322512156,8.423019869,7.614868033,,,,8.438593942,,,8.275713046,,7.905770501,,,,,,,,,,,,,,,
70,8.363799477,0.335780789,8.174232712,7.987081869,8.867079467,,8.678460482,8.770100388,8.790573535,,8.270497287,8.31891196,7.828630642,,,,8.50585039,,8.356084416,8.159323983,,8.022566065,,,,,,,,,,,,,,,
75,8.288920952,0.362103006,8.23996823,7.953224692,8.864920433,,8.587988541,8.512308717,8.713358137,,8.256755906,8.314587177,7.839540319,8.299531198,,,8.498276496,,8.362825277,8.123783088,,7.477825112,,,,,,,,,,,,,,,
80,8.290947557,0.457977699,8.166216562,8.057902152,8.490421803,,8.375278138,9.033907018,9.209269191,,8.288145499,8.33067846,7.640430575,8.178020216,,,8.190841539,,8.46823085,8.206498287,,7.437425514,,,,,,,,,,,,,,,
85,8.235277543,0.32508007,8.119056013,8.075286252,8.566439116,,8.374175871,8.265823549,9.088238002,8.062428459,8.174869449,8.398389638,7.736002249,8.255093065,,,8.053523515,,8.435172717,8.122251812,,7.802413436,,,,,,,,,,,,,,,
90,8.232535803,0.284011406,8.229937418,8.024251609,8.718355951,,8.122650198,8.59495358,8.816607461,7.981011566,8.183119388,8.204871373,7.78921109,8.227158425,8.025075717,8.185356397,8.098051955,,8.594433156,8.184251744,,7.973811624,,,,,,,,,,,,,,,
95,8.358519127,0.327128729,8.22037643,8.063981089,8.743091265,8.251846526,8.398264,8.447087746,9.223810133,8.047998736,8.349413699,8.222011634,7.875263826,8.521100858,8.121221886,8.358852524,8.218188203,,8.822863512,8.209453093,,,,,,,,,,,,,,,,,
