Time(min),Mean,Standard Deviation,1_1,1_10,1_11,1_12,1_13,1_14,1_15,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,2_1,2_11,2_12,2_13,2_14,2_15,2_16,2_17,2_18,2_19,2_2,2_20,2_21,2_22,2_23,2_24,2_25,2_3,2_4,2_5,2_6,2_7,2_8,2_9
10,,,,,,,,,,,,,,,9.576653012,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,9.239994678,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,9.100813621,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,8.324249293,,,,,,,,,,,9.185418303,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,8.112669924,8.594597233,8.686162694,,,,,,,,,8.790632089,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,8.070282923,8.26301192,8.570518314,,,7.983227529,,,,,,8.778638578,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,8.039529881,8.219444467,8.403043521,,,7.930548506,,8.754083596,8.640935993,,,8.73850797,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,8.06017955,8.183677517,8.3963813,,,8.083427256,,8.672528335,8.381649362,,,8.979302266,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,8.02175068,8.154082438,8.373792478,8.328180985,8.255691886,7.970678277,8.18897964,8.522868631,8.415851074,,,8.744362514,,,,,,,,,,,,,,,,,,,,,,,,,,
55,8.26662245,0.283295008,8.109099636,7.956572314,8.472930275,8.24095246,8.234303024,8.163057293,7.835221801,8.169831362,8.410684445,8.464170792,,,8.876023546,,,,,,,,,,,,,,,,,,,,,,,,,,
60,8.171065773,0.202235537,8.116348895,7.903893629,8.17356065,8.156655295,8.191006995,8.197256122,7.864286392,8.054937681,8.225739614,8.560762211,,,8.437276022,,,,,,,,,,,,,,,,,,,,,,,,,,
65,8.194141093,0.213250755,8.345117453,8.092468116,8.2286158,8.31535668,8.276865859,8.112192046,7.67834394,8.063650078,8.175296394,8.383513374,,,8.464132284,,,,,,,,,,,,,,,,,,,,,,,,,,
70,8.156784934,0.241479736,8.310470754,8.179848155,8.337913575,8.141119291,8.040747097,7.971881508,7.725746345,7.950165328,8.087633391,8.381093789,,,8.598015038,,,,,,,,,,,,,,,,,,,,,,,,,,
75,8.113742122,0.251540228,8.16667003,8.159585663,8.141988614,8.203952381,7.866625135,7.9016908,7.77313158,7.905794011,8.066125707,8.540206947,,,8.525392479,,,,,,,,,,,,,,,,,,,,,,,,,,
80,8.057278727,0.274833388,8.25851204,8.055312231,8.361824649,8.134513742,7.864568359,7.751231757,7.780745926,7.809763618,8.142629403,8.412028642,8.126701542,8.133676163,8.584196109,7.761198557,7.682278171,,,,,,,,,,,,,,,,,,,,,,,,
85,8.099153163,0.296100806,8.184740029,7.760728236,8.3608956,8.192590967,7.847754801,7.903347995,7.657518602,7.905779134,8.34011297,8.555032183,8.388761391,8.367136697,8.408966408,7.751821525,7.86211091,,,,,,,,,,,,,,,,,,,,,,,,
90,8.168553175,0.289431968,8.066292841,7.899733218,8.279117847,8.186160907,8.077563194,7.968811793,7.574484169,8.011282528,8.389669059,8.66341901,8.371511271,8.274678843,8.689435724,8.031061979,8.045075237,,,,,,,,,,,,,,,,,,,,,,,,
95,8.095694818,0.247793073,8.059717835,7.930782973,8.110564843,8.168612992,8.016227131,7.922444132,7.607056269,7.909795845,8.429302504,8.547188127,8.295838417,8.175799833,8.40787434,7.923869837,7.930347197,,,,,,,,,,,,,,,,,,,,,,,,
100,8.074535016,0.248212797,7.948327686,7.692554898,8.1785257,8.177379878,7.819887763,7.995405702,7.695985478,7.968768597,8.428085631,8.386354083,8.2804919,8.240387717,8.469761034,7.831071563,7.927044091,,,,,8.262703901,,,7.964359646,,,,,,,,,,,,,,,,
105,8.066225784,0.302363632,7.73812482,7.764431083,7.987502154,7.99564218,7.902720834,7.839424788,7.674676525,7.955134391,8.464469391,8.506786479,8.363845023,8.218830625,8.584342731,7.842155735,7.757930357,,,,,8.425905558,,,8.10391565,,,,,,,,,,,,,,,,
110,8.051400105,0.304625805,7.755056563,7.922829893,8.164926537,7.854635942,7.851405049,7.840614042,7.851163663,7.962424166,8.538502496,8.59018295,8.195531812,8.075513881,8.378908184,7.533984683,7.705831781,,,,,8.293916594,,,8.358373544,,,,,,,,,,,,,,,,
115,8.035645398,0.309165358,7.846312844,7.902232495,8.072492971,7.928207402,7.697349089,7.653229535,7.695041676,7.984354012,8.437815511,8.362004682,8.224436264,8.304475511,8.190550353,7.555444772,7.793209044,,,,,8.473063265,,,8.485752344,,,,,,,,,,,,,,,,
120,7.998072201,0.255383951,7.967030692,7.946103108,8.019974616,7.98089713,7.607941789,7.6706387,7.672457865,7.84977984,8.312411674,8.34787042,8.087122039,8.071343489,8.418183857,7.646422594,7.906660117,,,,,8.231563179,,,8.230826311,,,,,,,,,,,,,,,,
