Time(min),Mean,Standard Deviation,1_1,1_10,1_11,1_12,1_13,1_14,1_15,1_16,1_17,1_18,1_19,1_2,1_20,1_21,1_22,1_23,1_24,1_25,1_26,1_27,1_3,1_30,1_31,1_4,1_5,1_6,1_7,1_8,1_9,2_1,2_10,2_11,2_12,2_13,2_14,2_15,2_16,2_18,2_19,2_2,2_20,2_21,2_22,2_23,2_24,2_25,2_26,2_27,2_28,2_29,2_3,2_30,2_31,2_4,2_5,2_6,2_7,2_8,2_9
0,,,,,,,,,,,,,,,,,,,,,,,,9.06867923,9.134653486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,8.960819235,9.143496807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,8.596396493,,,,,,,,,,,,,,8.934082591,8.764868899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,8.623893379,,,,8.86573181,,,,,,,,,9.128510964,8.874030247,8.72985309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,8.636117658,,,,8.77440855,8.416555903,,,,,,,,8.919856692,8.778910145,8.729302578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,8.557012686,,8.314066359,,8.717742228,8.150937741,,,,,,,,9.111719043,8.548641925,8.46661974,,,,,8.685623862,8.640551722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,8.581951145,,8.469835919,,8.732592149,8.333612076,,,,,,,,8.897497056,8.541803692,8.280861545,,,,,8.620431335,8.631223399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,8.440374813,,8.619181827,,8.53249263,8.221563281,,,,,,,,9.012057225,8.339104114,8.387918364,,,,,8.531769386,8.614080844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,8.452116541,0.281747188,,,,,,,,8.525738157,,8.336913307,8.34271571,8.407865594,8.116391072,,9.175277162,,,,,,8.625583859,8.393790671,8.156555125,,,,,8.494207508,8.398243787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,8.492629549,0.207187699,,,,,8.821711573,8.868953834,,8.377580683,8.557823114,8.465271202,8.42935686,8.38541333,8.368996785,,8.861133664,,8.381212566,,,,8.593060323,8.283377701,8.237450351,,,,,8.311811321,8.44628993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,8.459664195,0.299724396,,,,,9.05676773,8.971461996,,8.379095523,8.369334303,8.32610866,8.286374921,8.431243846,8.161891407,,8.861994587,,8.404019057,,,,8.928297468,8.349104621,8.192853088,8.119962572,8.188484205,,,8.418605246,8.368692089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,8.401864124,0.332850205,,,,,9.026724947,8.850893598,,8.245801913,8.370985533,8.179892801,8.26364038,8.411004709,8.218159802,,8.878462488,,8.28933011,,,,8.791770874,8.314220018,8.450322136,7.921035492,7.853004253,,,8.140293093,8.626147963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,8.382357715,0.228831982,,,,,8.859808556,8.620447407,,8.268749786,8.550659902,8.232610408,8.173990281,8.330715822,8.090124532,,8.828487678,,8.29369367,,,,8.559928394,8.280143732,8.43391326,8.114522078,8.232202139,,,8.275275668,8.354807836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,8.396899655,0.293802203,,,,,8.910549574,8.703038009,,8.20576764,8.398784376,8.218350208,8.359548664,8.340803558,8.034380897,,8.719353066,8.951588124,8.346806693,,,,8.757663536,8.211179571,8.24092125,8.003178341,8.022871923,,,8.311304195,8.408104161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
