Time(min),Mean,Standard Deviation,1_1,1_10,1_11,1_12,1_13,1_14,1_15,1_16,1_17,1_18,1_19,1_2,1_20,1_21,1_22,1_23,1_24,1_25,1_26,1_27,1_28,1_3,1_30,1_31,1_32,1_33,1_34,1_4,1_5,1_6,1_7,1_8,1_9,2_1,2_10,2_11,2_12,2_13,2_14,2_16,2_17,2_18,2_19,2_2,2_20,2_21,2_22,2_23,2_24,2_25,2_26,2_27,2_28,2_29,2_3,2_30,2_31,2_32,2_33,2_4,2_5,2_6,2_7,2_8,2_9
0,,,8.629665476,8.884267979,8.513244475,,,,,,,,,8.447682714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,8.942768156,8.848042212,8.716260958,,,,,,,,,8.572241281,,,,,,,,,,9.00707225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,8.85453415,9.130758883,8.859803924,,,,,,,,,8.471956908,,,,8.885416125,8.623268498,,,,,8.807203947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,8.756098207,9.154632673,8.850293625,,,,,,,,,8.270955199,,,,8.671368128,8.627801437,,,,,8.705597361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,8.952886033,9.380370435,8.54182751,,,,,,,,,8.499799768,,,,9.174367062,8.5522686,,,,,8.768227577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,8.555503994,8.529211643,9.135330926,9.294151613,,,,,,,,8.343083635,,,,8.854126806,8.588687132,,,,,8.561050792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,8.595318083,9.15387107,8.783640939,9.14305319,,,,,,,,8.346474218,,,,9.015224064,8.464227985,,,,,8.741044241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,8.658022893,9.080922442,8.606606875,8.968517708,,,,,,,,8.222182028,,,,8.941161031,8.584460456,,,,,8.746072942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,8.594073584,9.057864856,8.418922017,8.805816707,,,,,,,,,,,,8.686988519,8.607631591,,,,,8.763946485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,8.697366019,8.786466564,8.633593912,9.087318149,,,,,,,,8.253010071,,,,8.547646714,8.744175919,,,,,8.831704042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,8.62793885,0.209850953,8.61005294,8.615489843,8.521596499,8.820779894,,,,,,,,8.242944892,,,,8.315216969,8.643157009,,8.704734669,8.668868131,,8.803469438,,8.576144337,,,,,,9.012811582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
